team_name,category,model,livery,championship_names,livery_id,model_folder
Cotswold Precision Racing,P4,MCR S2000,MCR S2000 #21,Radical Cup Europe,67,mcr2000
Cotswold Precision Racing,P4,MCR S2000,MCR S2000 #22,Radical Cup Europe,68,mcr2000
Cotswold Precision Racing,GT1_05,Maserati MC12 GT1,Maserati MC12 GT1 #1,GT Revival Series,51,maserati_mc12_gt1
Cotswold Precision Racing,GT1_05,Maserati MC12 GT1,Maserati MC12 GT1 #33,GT Revival Series,52,maserati_mc12_gt1
Cusick Morgan Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #20,USF2000,64,formula_inter
Cusick Morgan Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #31,USF2000,65,formula_inter
Cusick Morgan Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #2,USF Junior,52,formula_trainer_d
Cusick Morgan Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #20,USF Junior,70,formula_trainer_d
Cusick Morgan Motorsports,F-Trainer,Formula Trainer,Formula Trainer #19,F1600,69,formula_trainer
Cusick Morgan Motorsports,F-Trainer,Formula Trainer,Formula Trainer #2,F1600,52,formula_trainer
Cusick Morgan Motorsports,F-Vee_Gen2,Formula Vee Gen2,Guilherme Putnoki #7,Formula Vee North America,55,formula_vee_gen2
Cusick Morgan Motorsports,F-Vee_Gen2,Formula Vee Gen2,Jackson Brito #3,Formula Vee North America,53,formula_vee_gen2
Dale Coyne Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #05,NTT IndyCar,56,formula_usa_2023
Dale Coyne Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #15,NTT IndyCar,66,formula_usa_2023
Dale Coyne Racing,F-Reiza,Formula V8 Gen3,Scuderia Forza #3,Indy NXT,53,formula_reiza
Dale Coyne Racing,F-Reiza,Formula V8 Gen3,Scuderia Forza #4,Indy NXT,54,formula_reiza
Dale Coyne Racing,F-3,Dallara F301,Anderson Motorsport #19,USF Pro 2000,51,f301
Dale Coyne Racing,F-3,Dallara F301,Anderson Motorsport #21,USF Pro 2000,52,f301
Dale Coyne Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #6,USF2000,57,formula_inter
Dale Coyne Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #7,USF2000,58,formula_inter
Dale Coyne Racing,F-Trainer,Formula Trainer,Formula Trainer #4,F1600,54,formula_trainer
Dale Coyne Racing,F-Trainer,Formula Trainer,Formula Trainer #5,F1600,55,formula_trainer
Dreyer & Reinbold Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #11,NTT IndyCar,62,formula_usa_2023
Dreyer & Reinbold Racing,F-Reiza,Formula V8 Gen3,Team Virystone #11,Indy NXT,61,formula_reiza
Dreyer & Reinbold Racing,F-Reiza,Formula V8 Gen3,Team Virystone #12,Indy NXT,62,formula_reiza
Dreyer & Reinbold Racing,F-3,Dallara F301,Gordini G.P. #27,USF Pro 2000,55,f301
Dreyer & Reinbold Racing,F-3,Dallara F301,Gordini G.P. #28,USF Pro 2000,56,f301
Dreyer & Reinbold Racing,F-Trainer,Formula Trainer,Formula Trainer #3,F1600,53,formula_trainer
Dreyer & Reinbold Racing,F-Trainer,Formula Trainer,Formula Trainer #33,F1600,77,formula_trainer
Ecurie Belge Developpement,F-Inter,Formula Inter MG-15,F.Inter MG-15 #19,FRECA,63,formula_inter
Ecurie Belge Developpement,F-Inter,Formula Inter MG-15,F.Inter MG-15 #2,FRECA,54,formula_inter
Ecurie Belge Developpement,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #12,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",62,formula_trainer_d
Ecurie Belge Developpement,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #13,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",63,formula_trainer_d
Ecurie Belge Developpement,F-Trainer,Formula Trainer,Formula Trainer #15,National Formula Ford Championship,65,formula_trainer
Ecurie Belge Developpement,F-Trainer,Formula Trainer,Formula Trainer #16,National Formula Ford Championship,66,formula_trainer
Ed Carpenter Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #20,NTT IndyCar,69,formula_usa_2023
Ed Carpenter Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #09,NTT IndyCar,60,formula_usa_2023
Ed Carpenter Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #13,NTT IndyCar,64,formula_usa_2023
Ed Carpenter Racing,F-Reiza,Formula V8 Gen3,Roch G.P. #22,Indy NXT,71,formula_reiza
Ed Carpenter Racing,F-Reiza,Formula V8 Gen3,Roch G.P. #23,Indy NXT,72,formula_reiza
Eiger Sport Management,LMP2_Gen1,Oreca 07,Oreca 07 #22,European Le Mans Series,52,oreca_07
Eiger Sport Management,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #44,Lamborghini Super Trofeo Europe,63,lamborghini_huracan_supertrofeo_evo2
Eiger Sport Management,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #47,Lamborghini Super Trofeo Europe,64,lamborghini_huracan_supertrofeo_evo2
Eiger Sport Management,LMDh,BMW M Hybrid V8,BMW M Hybrid V8 #42,World Endurance Championship,53,bmw_m_hybrid_v8
Eiger Sport Management,LMDh,BMW M Hybrid V8,BMW M Hybrid V8 #43,World Endurance Championship,54,bmw_m_hybrid_v8
Eiger Sport Management,GT3_Gen2,BMW M4 GT3,BMW M4 GT3 #10,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",55,bmw_m4_gt3
Eiger Sport Management,GT3_Gen2,BMW M4 GT3,BMW M4 GT3 #55,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",56,bmw_m4_gt3
Eiger Sport Management,GT4,BMW M4 GT4,BMW M4 GT4 #10,Nürburgring Langstrecken-Serie,55,bmw_m4_gt4
Eiger Sport Management,GT4,BMW M4 GT4,BMW M4 GT4 #7,Nürburgring Langstrecken-Serie,52,bmw_m4_gt4
Eiger Sport Management,GT3,BMW M6 GT3,BMW M6 GT3 #11,"European Le Mans Series, Michelin Le Mans Cup",52,bmw_m6_gt3
Eiger Sport Management,GT3,BMW M6 GT3,BMW M6 GT3 #61,"European Le Mans Series, Michelin Le Mans Cup",53,bmw_m6_gt3
Eiger Sport Management,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #20,Michelin Le Mans Cup,52,ginetta_g58_gen2
Eiger Sport Management,P4,MCR S2000,MCR S2000 #1,Radical Cup Europe,51,mcr2000
Eiger Sport Management,P4,MCR S2000,MCR S2000 #27 - A.Tobin Skin,Radical Cup Europe,72,mcr2000
Eiger Sport Management,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #1,"European Le Mans Series, Michelin Le Mans Cup",51,ginetta_g58_gen2
Eiger Sport Management,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #22,European Le Mans Series,54,ginetta_g58_gen2
Elysium GT Racing,GT3_Gen2,BMW M4 GT3,BMW M4 GT3 #7,GT World Challenge Sprint,54,bmw_m4_gt3
Elysium GT Racing,GT3_Gen2,Mercedes-AMG GT3 Evo,Mercedes-AMG GT3 Evo #80 (IMSA 2024),GT World Challenge Sprint,54,mercedes_amg_gt3_evo
Elysium GT Racing,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #78,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",58,porsche_991_gt3
Elysium GT Racing,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #87,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",59,porsche_991_gt3
Elysium GT Racing,GT1_05,Aston Martin DBR9,Aston Martin DBR9 #57,GT Revival Series,51,aston_martin_dbr9_gt1
Elysium GT Racing,GT1_05,Aston Martin DBR9,Aston Martin DBR9 #58,GT Revival Series,52,aston_martin_dbr9_gt1
Exotic Motors Alliance,GT2_05,Milano GT36,Milano GT36 #25,"Ferrari Challenge North America, Ferrari Challenge Europe",54,milano_gt36
Exotic Motors Alliance,GT2_05,Milano GT36,Milano GT36 #31,"Ferrari Challenge North America, Ferrari Challenge Europe",55,milano_gt36
Exotic Motors Alliance,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #10,"Lamborghini Super Trofeo North America, Lamborghini Super Trofeo Europe",55,lamborghini_huracan_supertrofeo_evo2
Exotic Motors Alliance,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #15,"Lamborghini Super Trofeo North America, Lamborghini Super Trofeo Europe",56,lamborghini_huracan_supertrofeo_evo2
Exotic Motors Alliance,GT1_05,Lamborghini Murcielago R-GT,Lamborghini Murcielago R-GT #42,GT Revival Series,55,lamborghini_murcielago_r_gt
Exotic Motors Alliance,GT1_05,Lamborghini Murcielago R-GT,Lamborghini Murcielago R-GT #45,GT Revival Series,56,lamborghini_murcielago_r_gt
Flint Hills Raceworks,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #6,USF Junior,56,formula_trainer_d
Flint Hills Raceworks,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #7,USF Junior,57,formula_trainer_d
Flint Hills Raceworks,F-Trainer,Formula Trainer,Formula Trainer #11,F1600,61,formula_trainer
Flint Hills Raceworks,F-Trainer,Formula Trainer,Formula Trainer #12,F1600,62,formula_trainer
Flint Hills Raceworks,F-Vee_Gen2,Formula Vee Gen2,Jairo Rozenblit #18,Formula Vee North America,56,formula_vee_gen2
Flint Hills Raceworks,F-Vee_Gen2,Formula Vee Gen2,Joao Dante #128,Formula Vee North America,65,formula_vee_gen2
Fox-Davies Preparations,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #00,"Mini Challenge,IMSA Michelin Pilot Challenge",51,mini_cooper
Fox-Davies Preparations,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #5,"Mini Challenge, IMSA Michelin Pilot Challenge",54,mini_cooper
Fox-Davies Preparations,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #01,Ginetta Junior Championship UK,51,ginetta_g40_cup
Fox-Davies Preparations,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #02,Ginetta Junior Championship UK,52,ginetta_g40_cup
Garnet Motorsport,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #70 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, GT World Challenge America, GT World Challenge Sprint",52,mclaren_720s_gt3_evo
Garnet Motorsport,GT3_Gen2,BMW M4 GT3,BMW M4 GT3 #55,"IMSA WeatherTech SportsCar Championship, GT World Challenge America, GT World Challenge Sprint",56,bmw_m4_gt3
Garnet Motorsport,GT4,BMW M4 GT4,BMW M4 GT4 #7,"IMSA Michelin Pilot Challenge, British GT Championship",52,bmw_m4_gt4
Garnet Motorsport,GT4,BMW M4 GT4,BMW M4 GT4 #8,"IMSA Michelin Pilot Challenge, British GT Championship",53,bmw_m4_gt4
Garnet Motorsport,GT3,Mercedes-AMG GT3,Mercedes-AMG GT3 #01,IMSA VP Racing SportsCar Challenge,51,mercedes_amg_gt3
Garnet Motorsport,GT3,Mercedes-AMG GT3,Mercedes-AMG GT3 #09,IMSA VP Racing SportsCar Challenge,52,mercedes_amg_gt3
Garnet Motorsport,P4,MCR S2000,MCR S2000 #17,Radical Cup North America,64,mcr2000
Garnet Motorsport,P4,MCR S2000,MCR S2000 #18,Radical Cup North America,65,mcr2000
Garrison-Hague Motorsport,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #8,USF Junior,58,formula_trainer_d
Garrison-Hague Motorsport,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #9,USF Junior,59,formula_trainer_d
Garrison-Hague Motorsport,F-Trainer,Formula Trainer,Formula Trainer #1,F1600,51,formula_trainer
Garrison-Hague Motorsport,F-Trainer,Formula Trainer,Formula Trainer #10,F1600,60,formula_trainer
Garrison-Hague Motorsport,F-Vee_Gen2,Formula Vee Gen2,Joao Ramalho #1,Formula Vee North America,52,formula_vee_gen2
Garrison-Hague Motorsport,F-Vee_Gen2,Formula Vee Gen2,Kleber Rocha #00,Formula Vee North America,51,formula_vee_gen2
Golden Gate Racing Group,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #42,Ginetta Junior Championship North America,64,ginetta_g40_cup
Golden Gate Racing Group,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #46,Ginetta Junior Championship North America,65,ginetta_g40_cup
Granite State Garage,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #28,Ginetta Junior Championship North America,60,ginetta_g40_cup
Granite State Garage,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #32,Ginetta Junior Championship North America,61,ginetta_g40_cup
Gulf Coast Competition,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #48,Lamborghini Super Trofeo North America,65,lamborghini_huracan_supertrofeo_evo2
Gulf Coast Competition,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #50,Lamborghini Super Trofeo North America,66,lamborghini_huracan_supertrofeo_evo2
Gulf Coast Competition,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #25,Ginetta Junior Championship North America,58,ginetta_g40_cup
Gulf Coast Competition,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #27,Ginetta Junior Championship North America,59,ginetta_g40_cup
Haas,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,DNA-US #4,Formula 1,57,formula_ultimate_2024
Haas,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,DNA-US #7,Formula 1,58,formula_ultimate_2024
Haas,F-Reiza,Formula V8 Gen3,Roch G.P. #22,Formula 2,71,formula_reiza
Haas,F-Reiza,Formula V8 Gen3,Roch G.P. #23,Formula 2,72,formula_reiza
Haas,F-3,Dallara F301,Anderson Motorsport #19,Formula 3,51,f301
Haas,F-3,Dallara F301,Anderson Motorsport #21,Formula 3,52,f301
Helvetia Junior Team,F-3,Dallara F301,Power On Motors #43,Formula 3,57,f301
Helvetia Junior Team,F-3,Dallara F301,Reiza G.P. Community Skin #96,Formula 3,62,f301
Helvetia Junior Team,F-Inter,Formula Inter MG-15,F.Inter MG-15 #82,FRECA,69,formula_inter
Helvetia Junior Team,F-Inter,Formula Inter MG-15,F.Inter MG-15 #91,FRECA,70,formula_inter
Helvetia Junior Team,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #3,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",53,formula_trainer_d
Helvetia Junior Team,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #33,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",77,formula_trainer_d
Helvetia Junior Team,F-Trainer,Formula Trainer,Formula Trainer #3,National Formula Ford Championship,53,formula_trainer
Helvetia Junior Team,F-Trainer,Formula Trainer,Formula Trainer #33,National Formula Ford Championship,77,formula_trainer
Helvetia Junior Team,F-Vee_Gen2,Formula Vee Gen2,David D'amico #77,"Formula Vee UK, Formula Vee Germany",62,formula_vee_gen2
Helvetia Junior Team,F-Vee_Gen2,Formula Vee Gen2,Gabriel Andrade #99,"Formula Vee UK, Formula Vee Germany",64,formula_vee_gen2
Heritage Racing Collective,GT2_05,Milano GT36,Milano GT36 #43,"Ferrari Challenge North America, Ferrari Challenge Europe",58,milano_gt36
Heritage Racing Collective,GT2_05,Milano GT36,Milano GT36 #51,"Ferrari Challenge North America, Ferrari Challenge Europe",59,milano_gt36
Heritage Racing Collective,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #27,"Lamborghini Super Trofeo North America, Lamborghini Super Trofeo Europe",59,lamborghini_huracan_supertrofeo_evo2
Heritage Racing Collective,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #28,"Lamborghini Super Trofeo North America, Lamborghini Super Trofeo Europe",60,lamborghini_huracan_supertrofeo_evo2
Heritage Racing Collective,GT1_05,Lamborghini Murcielago R-GT,Lamborghini Murcielago R-GT #10,GT Revival Series,51,lamborghini_murcielago_r_gt
Heritage Racing Collective,GT1_05,Lamborghini Murcielago R-GT,Lamborghini Murcielago R-GT #25,GT Revival Series,52,lamborghini_murcielago_r_gt
High Plains Speedworks,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #88,Ginetta Junior Championship North America,72,ginetta_g40_cup
High Plains Speedworks,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #01,Ginetta Junior Championship North America,51,ginetta_g40_cup
High Plains Speedworks,P4,MCR S2000,MCR S2000 #23,Radical Cup North America,69,mcr2000
High Plains Speedworks,P4,MCR S2000,MCR S2000 #31,Radical Cup North America,76,mcr2000
HMD Motorsports,F-Reiza,Formula V8 Gen3,Zir-Win Motorsport #1,Indy NXT,51,formula_reiza
HMD Motorsports,F-Reiza,Formula V8 Gen3,Zir-Win Motorsport #2,Indy NXT,52,formula_reiza
HMD Motorsports,F-3,Dallara F301,Kota Racing #46,USF Pro 2000,58,f301
HMD Motorsports,F-3,Dallara F301,Kota Racing #71,USF Pro 2000,59,f301
HMD Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #4,USF2000,56,formula_inter
HMD Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #42,USF2000,68,formula_inter
HMD Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #18,USF Junior,68,formula_trainer_d
HMD Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #19,USF Junior,69,formula_trainer_d
HMD Motorsports,F-Trainer,Formula Trainer,Formula Trainer #25,F1600,75,formula_trainer
HMD Motorsports,F-Trainer,Formula Trainer,Formula Trainer #26,F1600,76,formula_trainer
Ironwood Performance,GT3_Gen2,BMW M4 GT3,BMW M4 GT3 #96 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, Intercontinental GT Challenge, GT World Challenge America, GT World Challenge Sprint",53,bmw_m4_gt3
Ironwood Performance,GT3_Gen2,Mercedes-AMG GT3 Evo,Mercedes-AMG GT3 Evo #75 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, Intercontinental GT Challenge, GT World Challenge America, GT World Challenge Sprint",53,mercedes_amg_gt3_evo
Ironwood Performance,GT4,Ginetta G55 GT4,Ginetta G55 GT4 #13,British GT Championship,52,ginetta_g55_gt4_2
Ironwood Performance,GT4,Ginetta G55 GT4,Ginetta G55 GT4 #19,British GT Championship,53,ginetta_g55_gt4_2
Ironwood Performance,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #22,IMSA Michelin Pilot Challenge,61,mini_cooper
Ironwood Performance,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #26,IMSA Michelin Pilot Challenge,62,mini_cooper
Ironwood Performance,GT3,Nissan GT-R Nismo GT3,Nissan Nismo GT-R GT3 #201,IMSA VP Racing SportsCar Challenge,51,nissan_gt-r_gt3
Ironwood Performance,GT3,Nissan GT-R Nismo GT3,Nissan Nismo GT-R GT3 #202,IMSA VP Racing SportsCar Challenge,52,nissan_gt-r_gt3
Ironwood Performance,P4,MCR S2000,MCR S2000 #19,Radical Cup North America,66,mcr2000
Ironwood Performance,P4,MCR S2000,MCR S2000 #30,Radical Cup North America,75,mcr2000
Juncos Hollinger Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #25,NTT IndyCar,74,formula_usa_2023
Juncos Hollinger Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #74,NTT IndyCar,80,formula_usa_2023
Juncos Hollinger Racing,F-Reiza,Formula V8 Gen3,Starward G.P. #18,Indy NXT,67,formula_reiza
Juncos Hollinger Racing,F-Reiza,Formula V8 Gen3,Starward G.P. #19,Indy NXT,68,formula_reiza
Juncos Hollinger Racing,F-3,Dallara F301,Distop Motors #77,USF Pro 2000,60,f301
Juncos Hollinger Racing,F-3,Dallara F301,Distop Motors #78,USF Pro 2000,61,f301
Kaiser-Wolff Racing,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #41,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",58,porsche_991_gt3_2
Kaiser-Wolff Racing,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #53,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",55,porsche_991_gt3
Kaiser-Wolff Racing,GT4,Aston Martin Vantage GT4 Evo,AMR Vantage GT4 Evo #303,"IMSA VP Racing SportsCar Challenge, British GT Championship",53,aston_martin_vantage_gt4_evo
Kaiser-Wolff Racing,GT4,Aston Martin Vantage GT4 Evo,AMR Vantage GT4 Evo #304,"IMSA VP Racing SportsCar Challenge, British GT Championship",54,aston_martin_vantage_gt4_evo
Kaiser-Wolff Racing,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #23 (IMSA 2024),"GT World Challenge America, GT World Challenge Sprint",51,aston_martin_vantage_gt3_evo
Kaiser-Wolff Racing,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #44 (IMSA 2024),"GT World Challenge America, GT World Challenge Sprint",53,aston_martin_vantage_gt3_evo
Kaiser-Wolff Racing,GT1_05,Aston Martin DBR9,Aston Martin DBR9 #59,GT Revival Series,53,aston_martin_dbr9_gt1
Kaiser-Wolff Racing,GT1_05,Aston Martin DBR9,Aston Martin DBR9 #60,GT Revival Series,54,aston_martin_dbr9_gt1
Kinetix European Racing,LMP2_Gen1,Oreca 07,Oreca 07 #35,European Le Mans Series,53,oreca_07
Kinetix European Racing,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #86,Lamborghini Super Trofeo Europe,73,lamborghini_huracan_supertrofeo_evo2
Kinetix European Racing,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #88,Lamborghini Super Trofeo Europe,74,lamborghini_huracan_supertrofeo_evo2
Kinetix European Racing,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #14,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",56,porsche_992_gt3r
Kinetix European Racing,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #992,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",57,porsche_992_gt3r
Kinetix European Racing,GT4,Porsche Cayman GT4 Clubsport MR,Porsche Cayman GT4 CS MR #101,Nürburgring Langstrecken-Serie,52,porsche_cayman_gt4cs
Kinetix European Racing,GT4,Porsche Cayman GT4 Clubsport MR,Porsche Cayman GT4 CS MR #100,Nürburgring Langstrecken-Serie,51,porsche_cayman_gt4cs
Kinetix European Racing,GT3,Porsche 911 GT3 R,Porsche 911 GT3 R #05,"European Le Mans Series, Michelin Le Mans Cup",51,porsche_991_gt3r
Kinetix European Racing,GT3,Porsche 911 GT3 R,Porsche 911 GT3 R #17,"European Le Mans Series, Michelin Le Mans Cup",53,porsche_991_gt3r
Kinetix European Racing,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #54,Michelin Le Mans Cup,56,ginetta_g58_gen2
Kinetix European Racing,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #22,Ginetta Junior Championship Europe,57,ginetta_g40_cup
Kinetix European Racing,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #25,Ginetta Junior Championship Europe,58,ginetta_g40_cup
Kinetix European Racing,P4,MCR S2000,MCR S2000 #11,Radical Cup Europe,59,mcr2000
Kinetix European Racing,P4,MCR S2000,MCR S2000 #12,Radical Cup Europe,60,mcr2000
Kinetix European Racing,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #53,"European Le Mans Series, Michelin Le Mans Cup",55,ginetta_g58_gen2
Kinetix European Racing,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #54,European Le Mans Series,56,ginetta_g58_gen2
Lemanic Motorsport,P1Gen2,MetalMoro AJR Gen2 Chevrolet,MM AJR Chev Gen2 #55,Michelin Le Mans Cup,52,metalmoro_ajr_gen2
Lemanic Motorsport,P1Gen2,MetalMoro AJR Gen2 Chevrolet,MM AJR Chev Gen2 #232,Michelin Le Mans Cup,54,metalmoro_ajr_gen2
Lemanic Motorsport,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #38,Ginetta Junior Championship Europe,63,ginetta_g40_cup
Lemanic Motorsport,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #42,Ginetta Junior Championship Europe,64,ginetta_g40_cup
Lemanic Motorsport,P4,MCR S2000,MCR S2000 #17,Radical Cup Europe,64,mcr2000
Lemanic Motorsport,P4,MCR S2000,MCR S2000 #18,Radical Cup Europe,65,mcr2000
Lemanic Motorsport,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #2,GT Revival Series,51,corvette_c5r
Lemanic Motorsport,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #5,GT Revival Series,52,corvette_c5r
Liberty Motorsports,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #42,British GT Championship,55,aston_martin_vantage_gt3_evo
Liberty Motorsports,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #73,British GT Championship,56,aston_martin_vantage_gt3_evo
Liberty Motorsports,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #33,"IMSA Michelin Pilot Challenge, Mini Challenge",66,mini_cooper
Liberty Motorsports,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #38,"IMSA Michelin Pilot Challenge, Mini Challenge",67,mini_cooper
Liberty Motorsports,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #92,"Ginetta Junior Championship UK, Ginetta Junior Championship North America, Ginetta Junior Championship Europe",73,ginetta_g40_cup
Liberty Motorsports,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #77,"Ginetta Junior Championship UK, Ginetta Junior Championship North America, Ginetta Junior Championship Europe",71,ginetta_g40_cup
Liberty Motorsports,GT1_05,Aston Martin DBR9,Aston Martin DBR9 #62,GT Revival Series,55,aston_martin_dbr9_gt1
Liberty Motorsports,GT1_05,Aston Martin DBR9,Aston Martin DBR9 #64,GT Revival Series,56,aston_martin_dbr9_gt1
Lone Star Aero-Sport,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #44,Lamborghini Super Trofeo North America,63,lamborghini_huracan_supertrofeo_evo2
Lone Star Aero-Sport,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #47,Lamborghini Super Trofeo North America,64,lamborghini_huracan_supertrofeo_evo2
Lone Star Aero-Sport,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #34,Ginetta Junior Championship North America,62,ginetta_g40_cup
Lone Star Aero-Sport,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #38,Ginetta Junior Championship North America,63,ginetta_g40_cup
Lone Star Aero-Sport,P4,MCR S2000,MCR S2000 #21,Radical Cup North America,67,mcr2000
Lone Star Aero-Sport,P4,MCR S2000,MCR S2000 #22,Radical Cup North America,68,mcr2000
